      Step     Time          Energy          fmax
BFGS:    0 10:25:23    -2390.085996        4.497352
BFGS:    1 10:25:24    -2392.080067        3.602719
BFGS:    2 10:25:25    -2394.465872        3.392301
BFGS:    3 10:25:26    -2399.761199        4.423738
BFGS:    4 10:25:27    -2404.256594        4.729573
BFGS:    5 10:25:28    -2401.067707       26.101483
BFGS:    6 10:25:29    -2407.233844        4.018324
BFGS:    7 10:25:29    -2409.356803        3.391018
BFGS:    8 10:25:30    -2412.517800       10.825629
BFGS:    9 10:25:30    -2414.854905        3.571699
BFGS:   10 10:25:31    -2416.695575        5.523171
BFGS:   11 10:25:31    -2418.840141        4.977200
BFGS:   12 10:25:32    -2420.513496        3.459198
BFGS:   13 10:25:32    -2422.609410        4.431133
BFGS:   14 10:25:32    -2424.702859        4.991016
BFGS:   15 10:25:33    -2426.418421        3.339523
BFGS:   16 10:25:33    -2427.847350        2.817664
BFGS:   17 10:25:34    -2429.052760        2.787870
BFGS:   18 10:25:34    -2429.712601        1.694902
BFGS:   19 10:25:34    -2430.401610        1.593323
BFGS:   20 10:25:35    -2430.644331        1.476231
BFGS:   21 10:25:35    -2430.853661        0.751736
BFGS:   22 10:25:35    -2430.937124        0.711613
BFGS:   23 10:25:36    -2430.985265        0.427459
BFGS:   24 10:25:36    -2431.013451        0.377117
BFGS:   25 10:25:36    -2431.035320        0.241515
BFGS:   26 10:25:37    -2431.052697        0.304860
BFGS:   27 10:25:37    -2431.070564        0.261665
BFGS:   28 10:25:37    -2431.085372        0.232310
BFGS:   29 10:25:38    -2431.096086        0.186124
BFGS:   30 10:25:38    -2431.105115        0.199840
BFGS:   31 10:25:38    -2431.114655        0.201175
BFGS:   32 10:25:39    -2431.123269        0.201191
BFGS:   33 10:25:39    -2431.129033        0.143187
BFGS:   34 10:25:39    -2431.132659        0.091565
BFGS:   35 10:25:39    -2431.135737        0.115473
BFGS:   36 10:25:40    -2431.139034        0.127906
BFGS:   37 10:25:40    -2431.142422        0.156492
BFGS:   38 10:25:40    -2431.145592        0.129865
BFGS:   39 10:25:40    -2431.148570        0.097413
BFGS:   40 10:25:41    -2431.151384        0.100502
BFGS:   41 10:25:41    -2431.153842        0.093135
BFGS:   42 10:25:41    -2431.155910        0.104063
BFGS:   43 10:25:42    -2431.157720        0.075218
BFGS:   44 10:25:42    -2431.159267        0.082428
BFGS:   45 10:25:42    -2431.160418        0.061469
BFGS:   46 10:25:42    -2431.161165        0.050824
BFGS:   47 10:25:42    -2431.161692        0.048177
BFGS:   48 10:25:43    -2431.162157        0.044435
BFGS:   49 10:25:43    -2431.162581        0.050335
BFGS:   50 10:25:43    -2431.162932        0.039308
