      Step     Time          Energy          fmax
BFGS:    0 20:52:26    -3150.596654        6.596743
BFGS:    1 20:52:27    -3154.545697        3.776629
BFGS:    2 20:52:29    -3156.521584        2.553395
BFGS:    3 20:52:30    -3156.969408        0.908149
BFGS:    4 20:52:31    -3157.172304        0.676316
BFGS:    5 20:52:32    -3157.443935        0.765010
BFGS:    6 20:52:33    -3157.591568        0.736500
BFGS:    7 20:52:34    -3157.803970        0.635195
BFGS:    8 20:52:35    -3157.916054        0.451484
BFGS:    9 20:52:36    -3158.020593        0.471734
BFGS:   10 20:52:37    -3158.106738        0.478042
BFGS:   11 20:52:38    -3158.180412        0.357080
BFGS:   12 20:52:39    -3158.225656        0.292177
BFGS:   13 20:52:40    -3158.263952        0.339039
BFGS:   14 20:52:41    -3158.289775        0.235128
BFGS:   15 20:52:42    -3158.301843        0.106984
BFGS:   16 20:52:43    -3158.306645        0.088366
BFGS:   17 20:52:44    -3158.310434        0.094838
BFGS:   18 20:52:45    -3158.315000        0.124268
BFGS:   19 20:52:45    -3158.319110        0.123210
BFGS:   20 20:52:46    -3158.321985        0.079813
BFGS:   21 20:52:47    -3158.324138        0.086767
BFGS:   22 20:52:48    -3158.326395        0.068909
BFGS:   23 20:52:49    -3158.328945        0.075218
BFGS:   24 20:52:50    -3158.331501        0.075110
BFGS:   25 20:52:51    -3158.333786        0.081370
BFGS:   26 20:52:51    -3158.335486        0.064162
BFGS:   27 20:52:52    -3158.336607        0.044245
BFGS:   28 20:52:53    -3158.337398        0.039631
BFGS:   29 20:52:54    -3158.338160        0.045442
BFGS:   30 20:52:54    -3158.338877        0.048557
BFGS:   31 20:52:55    -3158.339351        0.026589
BFGS:   32 20:52:56    -3158.339552        0.023208
BFGS:   33 20:52:56    -3158.339680        0.022212
BFGS:   34 20:52:57    -3158.339855        0.024513
BFGS:   35 20:52:58    -3158.340079        0.028123
BFGS:   36 20:52:58    -3158.340269        0.019617
BFGS:   37 20:52:59    -3158.340376        0.015090
BFGS:   38 20:52:59    -3158.340451        0.014337
BFGS:   39 20:53:00    -3158.340539        0.016264
BFGS:   40 20:53:00    -3158.340633        0.019174
BFGS:   41 20:53:01    -3158.340707        0.014270
BFGS:   42 20:53:01    -3158.340754        0.010811
BFGS:   43 20:53:02    -3158.340788        0.008773
